travelCode,userCode,from,to,flightType,price,time,distance,agency,date
0,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,09/26/2019
0,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,09/30/2019
1,0,Brasilia (DF),Florianopolis (SC),firstClass,1487.52,1.66,637.56,CloudFy,10/03/2019
1,0,Florianopolis (SC),Brasilia (DF),firstClass,1127.36,1.66,637.56,CloudFy,10/04/2019
2,0,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,10/10/2019
2,0,Salvador (BH),Aracaju (SE),firstClass,1531.92,2.16,830.86,CloudFy,10/12/2019
3,0,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,10/17/2019
3,0,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,10/20/2019
4,0,Recife (PE),Florianopolis (SC),economic,803.39,1.76,676.53,Rainbow,10/24/2019
4,0,Florianopolis (SC),Recife (PE),economic,695.3,1.76,676.53,Rainbow,10/26/2019
5,0,Brasilia (DF),Aracaju (SE),firstClass,1287.52,1.11,425.98,FlyingDrops,10/31/2019
5,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,11/01/2019
6,0,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,11/07/2019
6,0,Florianopolis (SC),Recife (PE),premium,1013.4,1.76,676.53,Rainbow,11/10/2019
7,0,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,11/14/2019
7,0,Salvador (BH),Aracaju (SE),economic,811.73,2.16,830.86,CloudFy,11/17/2019
8,0,Recife (PE),Sao Paulo (SP),economic,513.06,1.26,486.52,CloudFy,11/21/2019
8,0,Sao Paulo (SP),Recife (PE),economic,829.91,1.26,486.52,CloudFy,11/24/2019
9,0,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,11/28/2019
9,0,Campo Grande (MS),Brasilia (DF),economic,506.56,0.72,277.7,CloudFy,11/30/2019
10,0,Brasilia (DF),Sao Paulo (SP),firstClass,992.17,0.67,257.81,Rainbow,12/05/2019
10,0,Sao Paulo (SP),Brasilia (DF),firstClass,824.31,0.67,257.81,Rainbow,12/06/2019
11,0,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,12/12/2019
11,0,Salvador (BH),Brasilia (DF),premium,882.86,1.76,676.56,Rainbow,12/16/2019
12,0,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,12/19/2019
12,0,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,12/20/2019
13,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,12/26/2019
13,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,12/27/2019
14,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,01/02/2020
14,0,Sao Paulo (SP),Brasilia (DF),firstClass,742.94,0.67,257.81,CloudFy,01/04/2020
15,0,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,01/09/2020
15,0,Natal (RN),Recife (PE),premium,563.23,0.58,222.67,CloudFy,01/11/2020
16,0,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,01/16/2020
16,0,Campo Grande (MS),Aracaju (SE),premium,1215.45,1.69,650.1,CloudFy,01/18/2020
17,0,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,01/23/2020
17,0,Natal (RN),Recife (PE),economic,429.77,0.58,222.67,CloudFy,01/24/2020
18,0,Brasilia (DF),Natal (RN),economic,791.66,1.43,550.69,CloudFy,01/30/2020
18,0,Natal (RN),Brasilia (DF),economic,697.51,1.43,550.69,CloudFy,01/31/2020
19,0,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,02/06/2020
19,0,Salvador (BH),Recife (PE),firstClass,1348.04,2.05,788.55,FlyingDrops,02/09/2020
20,0,Recife (PE),Campo Grande (MS),firstClass,1069.12,1.39,535.4,Rainbow,02/13/2020
20,0,Campo Grande (MS),Recife (PE),firstClass,1185.95,1.39,535.4,Rainbow,02/17/2020
21,0,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,02/20/2020
21,0,Salvador (BH),Recife (PE),firstClass,1348.04,2.05,788.55,FlyingDrops,02/22/2020
22,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,02/27/2020
22,0,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,02/29/2020
23,0,Brasilia (DF),Recife (PE),premium,568.38,0.63,242.21,CloudFy,03/05/2020
23,0,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,03/08/2020
24,0,Brasilia (DF),Florianopolis (SC),firstClass,1576.97,1.66,637.56,Rainbow,03/12/2020
24,0,Florianopolis (SC),Brasilia (DF),firstClass,1087.18,1.66,637.56,Rainbow,03/16/2020
25,0,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,03/19/2020
25,0,Sao Paulo (SP),Aracaju (SE),economic,647.9,1.02,392.76,Rainbow,03/20/2020
26,0,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,03/26/2020
26,0,Salvador (BH),Recife (PE),premium,1016.53,2.05,788.55,CloudFy,03/29/2020
27,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,04/02/2020
27,0,Brasilia (DF),Aracaju (SE),firstClass,1287.52,1.11,425.98,FlyingDrops,04/06/2020
28,0,Aracaju (SE),Natal (RN),premium,427.25,0.46,176.33,Rainbow,04/09/2020
28,0,Natal (RN),Aracaju (SE),premium,479.37,0.46,176.33,Rainbow,04/13/2020
29,0,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,04/16/2020
29,0,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,04/20/2020
30,0,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,04/23/2020
30,0,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,04/26/2020
31,0,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1190.94,1.55,597.61,FlyingDrops,04/30/2020
31,0,Rio de Janeiro (RJ),Aracaju (SE),firstClass,1381.55,1.55,597.61,FlyingDrops,05/04/2020
32,0,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,05/07/2020
32,0,Sao Paulo (SP),Brasilia (DF),firstClass,742.94,0.67,257.81,CloudFy,05/09/2020
33,0,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,05/14/2020
33,0,Salvador (BH),Brasilia (DF),premium,836.89,1.76,676.56,CloudFy,05/18/2020
34,0,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,05/21/2020
34,0,Sao Paulo (SP),Aracaju (SE),premium,906.59,1.02,392.76,CloudFy,05/24/2020
35,0,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,05/28/2020
35,0,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,06/01/2020
36,0,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,06/04/2020
